,School District,School District (Full Name),Elementary Schools,ISP,ISD Number (If Included)
0,Adrian ISD #511,Adrian Public School District,Adrian Elementary,23.39,511
1,Aitkin ISD #1,Aitkin Public School District,Rippleside Elementary,35.92,1
2,Albany ISD #745,Albany Public School District,Albany Elementary Avon Elementary,15.805,745
3,Albert Lea ISD #241,Albert Lea Public School District,Lakeview Elementary Hawthorne Elementary Sibley Elementary Halverson Elementary,50.4675,241
4,Alexandria ISD #206,Alexandria Public School District,Lakes Country Academy Woodland Elementary Lincoln Elementary Carlos Elementary Voyager Elementary Miltona Elementary Garfield Elementary St Marys School,26.89,206
5,Annandale ISD #876,Annandale Public School District,Annandale Elementary,20.34,876
6,Ashby ISD #261,Ashby Public School District,Ashby Elementary,15.17,261
7,Austin ISD #492,Austin Public School District,Southgate Elementary Neveln Elementary Banfield Elementary Sumner Elementary CLC at Woodson,50.774,492
8,Badger ISD #676,Badger Public School District,Badger Elementary,43.55,676
9,Bagley ISD #162,Bagley Public School District,Bagley Elementary,45.85,162
10,Barnesville ISD #146,Barnesville Public School District,Atkinson Elementary,14.69,146
11,Barnum ISD #91,Barnum Public School District,Barnum Elementary,23.28,91
12,Battle Lake ISD #542,Battle Lake Public School District,Battle Lake Elementary,23.04,542
13,Becker ISD #726,Becker Public School District,Becker Primary School,17.71,726
14,Belle Plaine ISD #716,Belle Plaine Public School District,Chatfield Elementary Oak Crest Elementary Our Lady of the Prairie School,13.933333333333332,716
15,Bemidji ISD #31,Bemidji Public School District,Paul Bunyan Center Gene Dillion Elementary JW Smith Elementary Lincoln Elementary Solway Elementary Horace May Elementary Northern Elementary,42.30714285714286,31
16,Benson ISD #777,Benson Public School District,Northside Elementary,30.95,777
17,Big Lake ISD #727,Big Lake Public School District,Independence Elementary Liberty Elementary,27.61,727
18,Blackduck ISD #32,Blackduck Public School District,Blackduck Elementary,49.03,32
19,Blooming Prairie ISD #756,Blooming Prairie Public School Dist,Blooming Prairie Elementary,25.81,756
20,Bloomington ISD #271,Bloomington Public School District,Washburn Elementary Bloomington Transition Center Westwood Elementary Normandale Hills Elementary Oak Grove Elementary Olson Elementary Indian Mounds Elementary Valley View Elementary Poplar Bridge Elementary Ridgeview Elementary Hillcrest Elementary Pond Center Southwood School Elementary,34.75846153846154,271
21,Blue Earth Area Schools ISD #2860,Blue Earth Area Public School,Blue Earth Elementary/ECFE/Smallstep,46.6,2860
22,Braham Area Schools ISD #314,Braham Public School District,Braham Area Elementary,30.07,314
23,Brainerd ISD #181,Brainerd Public School District,Nisswa Elementary Baxter Elementary Lowell Elementary Garfield Elementary Riverside Elementary Harrison Elementary Discovery Woods Montessori School St Francis of Assisi,32.503750000000004,181
24,Breckenridge ISD #846,Breckenridge Public School District,Breckenridge Elementary,42.64,846
25,Brooklyn Center ISD #286,Brooklyn Center School District,Brooklyn Center Elementary Brooklyn Center Early College Academy,69.76,286
26,Browerville ISD #787,Browerville Public School District,Christ the King Parochial School Browerville Elementary,43.805,787
27,Browns Valley ISD #801,Browns Valley Public School Dist.,Browns Valley Elementary,17.97,801
28,Buffalo Hanover Montrose ISD #877,Buffalo Lk-Hector-Stewart Public Sc,Wright Technical Center Montrose Elementary Parkside Elementary Tatanka Elementary Northwinds Elementary Hanover Elementary Discovery Elementary,24.849999999999998,877
29,Buffalo Lake Hector Stewart ISD #2159,Buffalo Lk-Hector-Stewart Public Sc,Buffalo Lake-Hector Stewart Elementary,37.63,2159
30,Burnsville ISD #191,Burnsville Public School District,Diamondhead Ready to Learn Harriet Bishop Elementary William Byrne Elementary BES Area Learning Cntr Cedar Edward Neill Elementary Gideon Pond Elementary Rahn Elementary Vista View Elementary Sky Oaks Elementary Hidden Valley Elementary Burnsville Eagan Savage Transition,48.52363636363636,191
31,Butterfield Odin ISD #836,Butterfield Public School District,Butterfield Elementary,54.55,836
32,Byron ISD #531,Byron Public School District,Rochester Beacon Academy Byron Primary School,27.225,531
33,Caledonia ISD #299,Caledonia Public School District,Caledonia Elementary,21.69,299
34,Canby ISD #891,Canby Public School District,Canby Elementary,27.63,891
35,Cannon Falls ISD #252,Cannon Falls Public School District,Cannon Falls Elementary,16.38,252
36,Carlton ISD #93,Carlton Public School District,South Terrace Elementary,31.9,93
37,Cass Lake Bena ISD #115,Cass Lake-Bena Public Schools,Cass Lake-Bena Elementary,76.67,115
38,Cedar Mountain ISD #2754,Cedar Mountain School District,Cedar Mountain Elementary,36.26,2754
39,Centennial ISD #12,Centennial Public School District,Centennial Elementary Golden Lake Elementary Blue Heron Elementary Centerville Elementary Rice Lake Elementary,20.664,12
40,Central School District ISD #108,Central Public School District,Central Elementary Kurious Kids-Cologne Site,12.35,108
41,Chatfield ISD #227,Chatfield Public Schools,Chatfield Elementary,19.62,227
42,Chisago Lakes Schools ISD #2144,Chisago Lakes School District,Taylors Falls Elementary Lakeside Elementary Primary Elementary Chisago Lakes Baptist School,14.2925,2144
43,Chisholm ISD #695,Chisholm Public School District,Vaughan-Steffensrud Elementary Chisholm Elementary,54.075,695
44,Cleveland ISD #391,Cleveland Public School District,Cleveland Elementary,12.77,391
45,Cloquet ISD #94,Cloquet Public School District,Cloquet Area Alternative Ed Programs Northern Lights Academy G1 Northern Lights Academy S2 Washington Elementary Churchill Elementary Queen of Peace,48.93333333333334,94
46,Columbia Heights ISD #13,Columbia Heights Public School Dist,Highland Elementary Valley View Elementary Columbia Academy North Park Elementary Metro Heights Academy,45.004000000000005,13
47,Comfrey ISD #81,Comfrey Public School District,Comfrey Elementary,22.81,81
48,Cook County ISD #166,Cook County Public Schools,Sawtooth Mountain Elementary,36.95,166
49,Crookston ISD #593,Crookston Public School District,Washington Elementary Highland Elementary Cathedral School,37.516666666666666,593
50,Deer River ISD #317,Deer River Public School District,King Elementary,52.82,317
51,Delano ISD #879,Delano Public School District,Delano Elementary,10.62,879
52,Detroit Lakes ISD #22,Detroit Lakes Public School Dist.,Roosevelt Elementary Rossman Elementary,33.555,22
